п/п,Наименования показателей и статей затрат,Ед. изм.,2013,
1.,Натуральные показатели,,план,факт
,Объем транспортной работы,тыс. ваг-км,205 135,212 582
2.,"Всего доходов от основной деятельности, в том числе:",тыс. руб.,20 866 381,20 866 084
02.01.2014,Доходы от перевозки пассажиров,тыс. руб.,16 083 460,16 083 163
02.02.2014,Cубсидия из бюджета Санкт-Петербурга на осуществление перевозки граждан по регулируемому тарифу,тыс. руб.,4 782 921,4 782 921
3.,"Всего расходов по основной деятельности, в том числе:",тыс. руб.,21 714 046,21 651 879
03.01.2014,Расходы и отчисления по перевозке пассажиров,тыс. руб.,21 538 975,21 488 219
,в том числе:,,,
,Материальные затраты,"""",4 394 767,4 387 139
,в т.ч. Электроэнергия,"""",1 791 665,1 724 580
,Затраты на оплату труда,"""",6 293 285,6 291 044
,Страховые взносы,"""",1 723 480,1 684 810
,Амортизация,"""",2 362 428,2 208 782
,Прочие расходы,"""",6 765 015,6 916 444
,в т.ч. Расходы на ремонт,"""",4 309 013,4 517 210
03.02.2014,Расходы на социальные нужды коллектива,тыс. руб.,175 071,163 660
4.,Итого убыток от основной деятельности,тыс. руб.,-847 665,-785 795
5.,Источники покрытия убытков - всего:,тыс. руб.,950 044,1 001 905
,в том числе:,,,
05.01.2014,Прибыль от прочих видов деятельности,"""",806 605,847 794
,в том числе:,,,
,сдача в аренду и обслуживание рекламоносителей,"""",313 350,331 131
,сдача в аренду и обслуживание нежилого фонда,"""",417 966,430 840
,прочие виды,"""",75 289,85 823
05.02.2014,Прочая прибыль,"""",143 439,154 111
6.,Налоги,"""",102 379,190 645
7.,Чистая прибыль (убыток) отчетного периода,"""",0,25 465
